BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
125259,GlaxoSmithKline Biologicals,Licensed,NaT,2009-10-16
125260,GlaxoSmithKline Biologicals,Licensed,NaT,2008-06-24
125261,"Janssen Biotech, Inc.",Licensed,NaT,2009-09-25
125264,Wyeth Pharmaceuticals LLC,Licensed,NaT,2008-02-21
125265,GlaxoSmithKline Biologicals,Licensed,NaT,2008-04-03
125266,Baxter Healthcare Corporation,Licensed,NaT,2008-03-19
125267,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2008-10-10
125268,Amgen Inc.,Licensed,NaT,2008-08-22
125274,Ipsen Biopharm Limited,Licensed,NaT,2009-04-29
125276,"Genentech, Inc.",Licensed,NaT,2010-01-08
125277,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2009-12-01
125280,Valneva Austria GmbH,Licensed,NaT,2009-03-30
125284,"rEVO Biologics, Inc.",Voluntarily Revoked,NaT,2009-02-06
125285,Protein Sciences Corporation,Licensed,2013-01-16,2013-01-16
125287,CSL Behring GmbH,Licensed,NaT,2009-10-09
125288,Bristol-Myers Squibb Company,Licensed,NaT,2011-06-15
125289,"Janssen Biotech, Inc.",Licensed,NaT,2009-04-24
125290,Novartis Pharmaceuticals Corporation,Voluntarily Revoked,NaT,2009-08-14
125291,Genzyme Corporation,Licensed,NaT,2010-05-24
125293,Horizon Therapeutics Ireland DAC,Licensed,NaT,2010-09-14
125294,UAB Teva Baltics,Licensed,2012-08-29,2012-08-29
125296,"Teva Women's Health, Inc.",Licensed,NaT,2011-03-16
125297,Seqirus Inc.,Licensed,NaT,2009-11-27
125300,GlaxoSmithKline Biologicals,Licensed,NaT,2010-02-19
