ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
086457,001,EPIFOAM,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,1%;1%,"AEROSOL, METERED",TOPICAL,N,N,RX,BX,,,
019127,001,EXIDINE,CHLORHEXIDINE GLUCONATE,4%,"AEROSOL, METERED",TOPICAL,Y,Y,OTC,,,,
089440,001,HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1%,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,1%;1%,"AEROSOL, METERED",TOPICAL,N,N,DISCN,,,,
086195,001,PROCTOFOAM HC,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,1%;1%,"AEROSOL, METERED",TOPICAL,Y,Y,RX,BX,,,
022335,001,TECHNEGAS KIT,TECHNETIUM TC-99M LABELED CARBON,,AEROSOL,INHALATION,Y,Y,RX,,,,
020587,001,SCLEROSOL,TALC,4GM/SPRAY,AEROSOL,INTRAPLEURAL,Y,Y,RX,,,,
014242,001,DEXACORT,DEXAMETHASONE SODIUM PHOSPHATE,EQ 0.1MG PHOSPHATE/INH,AEROSOL,NASAL,N,N,DISCN,,,,
014394,001,XYLOCAINE,LIDOCAINE,10%,AEROSOL,ORAL,N,N,DISCN,,,,
018705,001,NITROLINGUAL,NITROGLYCERIN,0.4MG/SPRAY,AEROSOL,SUBLINGUAL,N,N,DISCN,,,,
083296,002,AEROSEB-DEX,DEXAMETHASONE,0.01% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AEROSOL,TOPICAL,N,N,DISCN,,,,
085805,001,AEROSEB-HC,HYDROCORTISONE,0.5%,AEROSOL,TOPICAL,N,N,DISCN,,,,
012731,002,DECASPRAY,DEXAMETHASONE,0.04% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AEROSOL,TOPICAL,Y,N,DISCN,,,,
050167,002,POLYSPORIN,BACITRACIN ZINC; POLYMYXIN B SULFATE,"10,000 UNITS/GM;2,000,000 UNITS/GM",AEROSOL,TOPICAL,N,N,DISCN,,,,
021043,001,RID MOUSSE,PIPERONYL BUTOXIDE; PYRETHRINS,4%;EQ 0.33% BASE,AEROSOL,TOPICAL,N,N,DISCN,,,,
017424,001,SEPTISOL,HEXACHLOROPHENE,0.23%,AEROSOL,TOPICAL,N,N,DISCN,,,,
018375,001,TURGEX,HEXACHLOROPHENE,3%,AEROSOL,TOPICAL,N,N,DISCN,,,,
014349,002,DELFEN,NONOXYNOL-9,12.5%,AEROSOL,VAGINAL,N,N,DISCN,,,,
071621,001,CHOLYBAR,CHOLESTYRAMINE,EQ 4GM RESIN/BAR,"BAR, CHEWABLE",ORAL,N,N,DISCN,,,,
071739,001,CHOLYBAR,CHOLESTYRAMINE,EQ 4GM RESIN/BAR,"BAR, CHEWABLE",ORAL,N,N,DISCN,,,,
210895,001,WELCHOL,COLESEVELAM HYDROCHLORIDE,3.75GM,"BAR, CHEWABLE",ORAL,Y,N,DISCN,,,,
063187,001,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,EQ 100MG BASE,"CAPSULE, COATED PELLETS",ORAL,N,N,DISCN,,,,
021507,002,PREVACID NAPRAPAC 250 (COPACKAGED),LANSOPRAZOLE; NAPROXEN,"15MG,N/A;N/A,250MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,Y,N,DISCN,,,,
021507,003,PREVACID NAPRAPAC 375 (COPACKAGED),LANSOPRAZOLE; NAPROXEN,"15MG,N/A;N/A,375MG","CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,N,N,DISCN,,,,
021507,004,PREVACID NAPRAPAC 500 (COPACKAGED),LANSOPRAZOLE; NAPROXEN,"15MG,N/A;N/A,500MG","CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,N,N,DISCN,,,,
021427,001,CYMBALTA,DULOXETINE HYDROCHLORIDE,EQ 20MG BASE,"CAPSULE, DELAYED REL PELLETS",ORAL,Y,N,RX,AB,,,
021427,002,CYMBALTA,DULOXETINE HYDROCHLORIDE,EQ 30MG BASE,"CAPSULE, DELAYED REL PELLETS",ORAL,Y,N,RX,AB,,,
021427,004,CYMBALTA,DULOXETINE HYDROCHLORIDE,EQ 60MG BASE,"CAPSULE, DELAYED REL PELLETS",ORAL,Y,Y,RX,AB,,,
019680,001,DEPAKOTE,DIVALPROEX SODIUM,EQ 125MG VALPROIC ACID,"CAPSULE, DELAYED REL PELLETS",ORAL,Y,Y,RX,AB,,,
090094,001,DIDANOSINE,DIDANOSINE,125MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090094,002,DIDANOSINE,DIDANOSINE,200MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090094,003,DIDANOSINE,DIDANOSINE,250MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090094,004,DIDANOSINE,DIDANOSINE,400MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
077167,001,DIDANOSINE,DIDANOSINE,200MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
077167,002,DIDANOSINE,DIDANOSINE,250MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
077167,003,DIDANOSINE,DIDANOSINE,400MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090788,001,DIDANOSINE,DIDANOSINE,125MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090788,002,DIDANOSINE,DIDANOSINE,200MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090788,003,DIDANOSINE,DIDANOSINE,250MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
090788,004,DIDANOSINE,DIDANOSINE,400MG,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,DISCN,,,,
213181,001,DIVALPROEX SODIUM,DIVALPROEX SODIUM,EQ 125MG VALPROIC ACID,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,RX,AB,,,
218793,001,DIVALPROEX SODIUM,DIVALPROEX SODIUM,EQ 125MG VALPROIC ACID,"CAPSULE, DELAYED REL PELLETS",ORAL,N,N,RX,AB,,,
