IngredientRxCUI,ProductRxCUI,NDC11,PackSize,UoM,UnitsPerPack,GTIN,RefrigeratedFlag,IsCurrent
153165,259255,71335258202,,,,,0,1
153165,259255,71335258203,,,,,0,1
153165,259255,71335258204,,,,,0,1
153165,259255,71335964601,,,,,0,1
153165,259255,71335964602,,,,,0,1
153165,259255,71335964603,,,,,0,1
153165,259255,71335964604,,,,,0,1
153165,259255,71399068005,,,,,0,1
153165,259255,71610003615,,,,,0,1
153165,259255,71610003630,,,,,0,1
153165,259255,71610003645,,,,,0,1
153165,259255,71610003660,,,,,0,1
153165,259255,71610009415,,,,,0,1
153165,259255,71610009430,,,,,0,1
153165,259255,71610009445,,,,,0,1
153165,259255,71610009460,,,,,0,1
153165,259255,71610017015,,,,,0,1
153165,259255,71610017030,,,,,0,1
153165,259255,71610017045,,,,,0,1
153165,259255,71610017060,,,,,0,1
153165,259255,71610063315,,,,,0,1
153165,259255,71610063330,,,,,0,1
153165,259255,71610063345,,,,,0,1
153165,259255,71610063360,,,,,0,1
153165,259255,71610074615,,,,,0,1
153165,259255,71610074630,,,,,0,1
153165,259255,71610074645,,,,,0,1
153165,259255,71610074653,,,,,0,1
153165,259255,71610074660,,,,,0,1
153165,259255,72162155609,,,,,0,1
153165,259255,72189029530,,,,,0,1
153165,259255,72189053790,,,,,0,1
153165,259255,72205002505,,,,,0,1
153165,259255,72205002530,,,,,0,1
153165,259255,72205002590,,,,,0,1
153165,259255,72205002599,,,,,0,1
153165,259255,72603028501,,,,,0,1
153165,259255,72603028502,,,,,0,1
153165,259255,72603028503,,,,,0,1
153165,259255,75834025801,,,,,0,1
153165,259255,75834025802,,,,,0,1
153165,259255,75834025850,,,,,0,1
153165,259255,75834025890,,,,,0,1
153165,259255,76420094800,,,,,0,1
153165,259255,76420094805,,,,,0,1
153165,259255,76420094812,,,,,0,1
153165,259255,76420094820,,,,,0,1
153165,259255,76420094830,,,,,0,1
153165,259255,76420094838,,,,,0,1
153165,259255,76420094860,,,,,0,1
153165,259255,76420094890,,,,,0,1
153165,259255,76519108403,,,,,0,1
153165,259255,77771045405,,,,,0,1
153165,259255,77771045490,,,,,0,1
153165,259255,82009000410,,,,,0,1
153165,259255,82137001901,,,,,0,1
153165,617310,00093505910,,,,,0,1
153165,617310,00093505998,,,,,0,1
153165,617310,00378395105,,,,,0,1
153165,617310,00378395107,,,,,0,1
153165,617310,00378395109,,,,,0,1
153165,617310,00378395177,,,,,0,1
153165,617310,00615800705,,,,,0,1
153165,617310,00615800707,,,,,0,1
153165,617310,00615800714,,,,,0,1
153165,617310,00615800728,,,,,0,1
153165,617310,00615800730,,,,,0,1
153165,617310,00615800739,,,,,0,1
153165,617310,00781538292,,,,,0,1
153165,617310,00904629106,,,,,0,1
153165,617310,00904629161,,,,,0,1
153165,617310,10135065005,,,,,0,1
153165,617310,16571013709,,,,,0,1
153165,617310,16571013710,,,,,0,1
153165,617310,16571013750,,,,,0,1
153165,617310,16714017401,,,,,0,1
153165,617310,16714017402,,,,,0,1
153165,617310,16714017403,,,,,0,1
153165,617310,16714087501,,,,,0,1
153165,617310,16714087502,,,,,0,1
153165,617310,16714087503,,,,,0,1
153165,617310,16729004501,,,,,0,1
153165,617310,16729004510,,,,,0,1
153165,617310,16729004515,,,,,0,1
153165,617310,16729004516,,,,,0,1
153165,617310,16729004517,,,,,0,1
153165,617310,24658050810,,,,,0,1
153165,617310,24658050890,,,,,0,1
153165,617310,31722042505,,,,,0,1
153165,617310,31722042510,,,,,0,1
153165,617310,31722042590,,,,,0,1
153165,617310,35356089418,,,,,0,1
153165,617310,35356089430,,,,,0,1
153165,617310,35356089490,,,,,0,1
153165,617310,42385094101,,,,,0,1
153165,617310,42385094105,,,,,0,1
153165,617310,42385094110,,,,,0,1
153165,617310,42385094111,,,,,0,1
153165,617310,42385094130,,,,,0,1
153165,617310,42385094168,,,,,0,1
153165,617310,42385094190,,,,,0,1
153165,617310,42571017310,,,,,0,1
153165,617310,42571017311,,,,,0,1
153165,617310,42571017330,,,,,0,1
153165,617310,42571017332,,,,,0,1
153165,617310,42571017390,,,,,0,1
153165,617310,42708000430,,,,,0,1
153165,617310,42708001330,,,,,0,1
153165,617310,42708014130,,,,,0,1
153165,617310,43063049630,,,,,0,1
153165,617310,43063049660,,,,,0,1
153165,617310,43353018145,,,,,0,1
153165,617310,43353018160,,,,,0,1
153165,617310,43353089209,,,,,0,1
153165,617310,43353089245,,,,,0,1
153165,617310,43598009905,,,,,0,1
153165,617310,43598009910,,,,,0,1
153165,617310,43598009978,,,,,0,1
153165,617310,43598009990,,,,,0,1
153165,617310,43598083105,,,,,0,1
153165,617310,43598083178,,,,,0,1
153165,617310,43598083179,,,,,0,1
153165,617310,43598083190,,,,,0,1
153165,617310,50090125700,,,,,0,1
