BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
103769,nofetumomab,Verluma,Boehringer Ingelheim Pharma GmbH & Co. KG,Injection,Intravenous,10MG/ML,N/A,Y,1998-10-13
103770,palivizumab,Synagis,Swedish Orphan Biovitrum AB (publ),For Injection,Intramuscular,50MG,N/A,Y,1998-06-19
103770,palivizumab,Synagis,Swedish Orphan Biovitrum AB (publ),For Injection,Intramuscular,100MG,N/A,Y,1998-06-19
103770,palivizumab,Synagis,Swedish Orphan Biovitrum AB (publ),Injection,Intramuscular,50MG/0.5ML,N/A,Y,2004-07-23
103770,palivizumab,Synagis,Swedish Orphan Biovitrum AB (publ),Injection,Intramuscular,100MG/1ML,N/A,Y,2004-07-23
103772,infliximab,Remicade,"Janssen Biotech, Inc.",For Injection,Intravenous,100MG,N/A,Y,1998-08-24
103777,Rho(D) Immune Globulin (Human),"Micrhogam, Rhogam",Kedrion Biopharma Inc.,Injection,Intramuscular,50UG,N/A,Y,1998-04-23
103777,Rho(D) Immune Globulin (Human),"Micrhogam, Rhogam",Kedrion Biopharma Inc.,Injection,Intramuscular,300UG,N/A,Y,1998-04-23
103779,Antihemophilic Factor (Recombinant),Refacto,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,2000IU,N/A,Y,2001-06-27
103779,Antihemophilic Factor (Recombinant),Refacto,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,500IU,N/A,Y,2001-07-06
103779,Antihemophilic Factor (Recombinant),Refacto,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,250IU,N/A,Y,2001-07-06
103779,Antihemophilic Factor (Recombinant),Refacto,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,1000IU,N/A,Y,2001-07-06
